Rank,Youtuber,Subscribers,Video Views,Video Count,Category,Started
1,T-Series,"23,40,00,000","2,12,90,02,71,553","18,515",Music,2006
2,YouTube Movies,"16,10,00,000",0,0,Film & Animation,2015
3,Cocomelon - Nursery Rhymes,"15,20,00,000","1,49,08,41,78,448",846,Education,2006
4,SET India,"15,00,00,000","1,37,82,80,94,104","1,03,200",Shows,2006
5,MrBeast,"12,80,00,000","21,54,91,28,785",733,Entertainment,2012
6,Music,"11,80,00,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
7,PewDiePie,"11,10,00,000","28,85,18,83,250","4,694",Gaming,2010
8,✿ Kids Diana Show,"10,60,00,000","86,63,85,70,921","1,056",People & Blogs,2015
9,Like Nastya,"10,40,00,000","87,20,29,35,675",754,People & Blogs,2016
10,Gaming,"9,33,00,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
11,WWE,"9,28,00,000","73,57,76,95,222","66,174",Sports,2007
12,Vlad and Niki,"9,27,00,000","72,44,41,18,381",520,Entertainment,2018
13,Zee Music Company,"9,16,00,000","53,35,25,97,784","7,530",Music,2014
14,BLACKPINK,"8,39,00,000","28,72,32,86,185",468,People & Blogs,2016
15,Goldmines,"8,12,00,000","21,29,65,68,609","5,090",Film & Animation,2012
16,5-Minute Crafts,"7,85,00,000","24,98,34,30,208","5,937",Howto & Style,2016
17,Sony SAB,"7,64,00,000","91,11,72,92,875","63,390",Shows,2007
18,Sports,"7,51,00,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
19,BANGTANTV,"7,31,00,000","19,24,00,57,894","2,090",Music,2012
20,Justin Bieber,"7,08,00,000","29,59,86,52,357",249,Music,2007
21,HYBE LABELS,"6,96,00,000","25,94,77,02,825","1,070",Music,2008
22,Canal KondZilla,"6,63,00,000","37,17,94,07,050","2,383",Music,2012
23,Zee TV,"6,54,00,000","31,29,15,72,708","80,178",Entertainment,2005
24,Pinkfong Baby Shark - Kids' Songs & Stories,"6,46,00,000","35,93,44,21,688","2,599",Education,2011
25,Shemaroo Filmi Gaane,"6,35,00,000","29,99,20,48,346","8,464",Music,2010
26,ChuChu TV Nursery Rhymes & Kids Songs,"6,11,00,000","41,90,42,39,949",531,Education,2013
27,Colors TV,"5,93,00,000","57,82,56,49,653","1,02,403",Shows,2008
28,Dude Perfect,"5,86,00,000","15,29,42,26,020",364,Sports,2009
29,Movieclips,"5,85,00,000","59,49,39,25,856","39,921",Film & Animation,2006
30,T-Series Bhakti Sagar,"5,73,00,000","27,00,48,07,684","24,900",Music,2011
31,Tips Official,"5,63,00,000","30,74,15,13,673","4,102",Music,2007
32,Marshmello,"5,61,00,000","14,01,49,58,483",405,Entertainment,2015
33,Wave Music,"5,57,00,000","38,81,94,71,815","18,970",Music,2014
34,Sony Music India,"5,54,00,000","27,17,92,77,627","3,380",Music,2009
35,Aaj Tak,"5,53,00,000","22,72,57,89,132","2,33,730",News & Politics,2009
36,EminemMusic,"5,50,00,000","25,33,43,75,101",140,Music,2007
37,El Reino Infantil,"5,50,00,000","53,45,82,57,145","1,410",Music,2011
38,Ed Sheeran,"5,28,00,000","29,00,46,63,326",258,Music,2006
39,LooLoo Kids - Nursery Rhymes and Children's Songs,"5,23,00,000","30,85,79,86,532",607,Music,2014
40,Ariana Grande,"5,22,00,000","23,05,87,76,245",146,Music,2007
41,YRF,"5,10,00,000","32,06,88,51,747","3,475",Film & Animation,2006
42,Taylor Swift,"5,07,00,000","27,71,41,89,976",204,Music,2006
43,BillionSurpriseToys - English Kids Songs & Cartoon,"4,97,00,000","8,66,29,01,485",637,Education,2013
44,Infobells - Hindi,"4,84,00,000","27,62,15,98,218",514,Education,2014
45,Billie Eilish,"4,73,00,000","12,81,07,75,364",51,Music,2013
46,JuegaGerman,"4,70,00,000","14,14,32,77,535","2,017",Gaming,2013
47,Badabun,"4,63,00,000","19,05,34,87,396","16,726",Entertainment,2014
48,Fernanfloo,"4,56,00,000","10,14,64,22,791",542,Gaming,2011
49,Bad Bunny,"4,51,00,000","28,11,44,60,507",127,Music,2014
50,Felipe Neto,"4,48,00,000","16,04,32,30,315","3,977",Entertainment,2006
51,SonyMusicIndiaVEVO,"4,48,00,000","25,91,50,43,211","3,366",Music,2009
52,BRIGHT SIDE,"4,43,00,000","10,43,09,31,571","5,173",Howto & Style,2017
53,Get Movies,"4,42,00,000","29,25,19,98,725","3,160",Entertainment,2006
54,Você Sabia?,"4,41,00,000","7,59,79,09,400","1,444",Entertainment,2013
55,whinderssonnunes,"4,40,00,000","4,17,92,50,874",524,Comedy,2013
56,Shemaroo,"4,40,00,000","22,41,91,93,201","10,697",Entertainment,2007
57,A4,"4,39,00,000","19,94,62,20,349",709,Gaming,2014
58,Katy Perry,"4,38,00,000","24,67,66,43,547",120,Music,2008
59,HolaSoyGerman.,"4,34,00,000","4,78,27,90,153",136,Entertainment,2011
60,Alan Walker,"4,28,00,000","12,26,60,13,874",364,Music,2012
61,Voot Kids,"4,23,00,000","19,62,02,44,169","3,923",Entertainment,2016
62,Like Nastya Show,"4,21,00,000","19,12,41,11,758",606,Entertainment,2017
63,ABS-CBN Entertainment,"4,21,00,000","48,81,58,21,642","1,85,775",People & Blogs,2008
64,Speed Records,"4,18,00,000","25,75,23,72,644","10,608",Music,2012
65,Rihanna,"4,09,00,000","21,16,99,59,746",82,Entertainment,2005
66,Маша и Медведь,"4,09,00,000","34,57,78,07,066","1,281",Film & Animation,2011
67,Little Baby Bum - Nursery Rhymes & Kids Songs,"4,06,00,000","38,57,35,16,896","2,245",Education,2011
68,elrubiusOMG,"4,04,00,000","7,58,14,23,100",711,Gaming,2011
69,Shakira,"4,01,00,000","25,42,80,49,775",307,People & Blogs,2005
70,Luisito Comunica,"3,98,00,000","8,16,03,28,364","1,194",Comedy,2012
71,Ishtar Music,"3,95,00,000","16,19,86,67,693","4,582",Trailers,2005
72,Kimberly Loaiza,"3,95,00,000","4,93,97,34,902",250,People & Blogs,2016
73,LUCCAS NETO - LUCCAS TOON,"3,87,00,000","21,41,58,52,275","1,985",People & Blogs,2014
74,ARY Digital HD,"3,86,00,000","32,38,30,19,054","88,409",Entertainment,2016
75,Masha and The Bear,"3,85,00,000","21,85,03,02,761","1,035",Shows,2014
76,XXXTENTACION,"3,84,00,000","10,13,42,05,288",129,Music,2015
77,GR6 EXPLODE,"3,84,00,000","24,70,10,70,352","4,134",Music,2014
78,Toys and Colors,"3,84,00,000","44,19,06,24,959",905,Entertainment,2016
79,TheEllenShow,"3,83,00,000","22,53,56,32,362","14,993",Entertainment,2006
80,WorkpointOfficial,"3,81,00,000","36,23,42,68,240","69,696",Entertainment,2012
81,One Direction,"3,78,00,000","13,12,51,70,526",157,Music,2010
82,CarryMinati,"3,76,00,000","3,11,07,25,449",180,Comedy,2014
83,Daddy Yankee,"3,75,00,000","21,66,76,15,457",471,Music,2011
84,shfa2 - شفا,"3,74,00,000","22,24,97,85,330","1,468",People & Blogs,2017
85,Super Simple Songs - Kids Songs,"3,74,00,000","40,90,58,20,903",647,Education,2006
86,TEDx Talks,"3,73,00,000","7,02,53,67,828","1,91,506",Nonprofits & Activism,2009
87,shfa,"3,70,00,000","20,19,65,97,873",920,People & Blogs,2015
88,Jkk Entertainment,"3,67,00,000","15,89,24,49,076",207,Comedy,2017
89,HAR PAL GEO,"3,67,00,000","32,30,73,89,493","80,499",Entertainment,2008
90,Mikecrack,"3,66,00,000","14,99,73,02,673","1,811",Gaming,2015
91,Maroon 5,"3,64,00,000","21,65,15,21,761",163,Music,2006
92,News,"3,63,00,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
93,Goldmines Gaane Sune Ansune,"3,63,00,000","15,50,05,77,270","3,406",Music,2015
94,Bruno Mars,"3,61,00,000","18,36,98,12,498",99,Music,2006
95,ช่อง one31,"3,60,00,000","26,38,03,24,996","1,04,458",Entertainment,2013
96,Like Nastya ESP,"3,59,00,000","17,25,07,77,103",691,Entertainment,2017
97,Ozuna,"3,58,00,000","22,25,51,48,830",162,Music,2016
98,Maria Clara & JP,"3,55,00,000","22,53,67,84,457",693,People & Blogs,2015
99,Sony PAL,"3,53,00,000","25,90,62,08,404","21,627",Shows,2014
100,YouTube,"3,52,00,000","2,98,09,22,779",620,News & Politics,1970
101,Ultra Bollywood,"3,52,00,000","16,07,15,19,784","9,424",Trailers,2009
102,ABP NEWS,"3,51,00,000","11,60,56,65,353","2,53,628",People & Blogs,2012
103,Total Gaming,"3,43,00,000","5,29,76,72,072","1,137",Gaming,2018
104,Markiplier,"3,43,00,000","19,49,18,86,710","5,392",Gaming,2012
105,Ryan's World,"3,42,00,000","53,64,63,14,889","2,294",Entertainment,2015
106,J Balvin,"3,39,00,000","22,25,75,60,882",134,Music,2011
107,Vlad và Niki,"3,39,00,000","21,00,89,32,630",457,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
108,Geet MP3,"3,37,00,000","12,20,53,82,034",614,Music,2016
109,Desi Music Factory,"3,36,00,000","9,90,90,79,287",129,Music,2014
110,IndiaTV,"3,36,00,000","14,72,87,24,777","2,54,217",News & Politics,2006
111,T-Series Apna Punjab,"3,36,00,000","20,00,46,53,117","7,169",Music,2011
112,La Granja de Zenón,"3,36,00,000","24,78,49,72,963",604,Music,2013
113,VEGETTA777,"3,36,00,000","15,18,26,06,203","7,322",Gaming,2008
114,SSSniperWolf,"3,32,00,000","22,26,54,06,473","3,200",Gaming,2013
115,NoCopyrightSounds,"3,31,00,000","10,84,33,42,435","1,205",Music,2011
116,KHANDESHI MOVIES,"3,30,00,000","11,11,48,15,843",203,Comedy,2013
117,Bollywood Classics,"3,28,00,000","20,44,13,45,965","1,959",Music,2012
118,PowerKids TV,"3,28,00,000","16,67,80,03,928","3,818",Film & Animation,2014
119,Ch3Thailand,"3,25,00,000","20,92,87,76,913","73,637",Entertainment,2014
120,Galinha Pintadinha,"3,23,00,000","24,45,34,80,427",65,Film & Animation,2006
121,Selena Gomez,"3,22,00,000","12,21,27,68,270",188,Film & Animation,2008
122,Eros Now Music,"3,20,00,000","17,27,91,22,597","9,863",Entertainment,2007
123,Saregama Music,"3,20,00,000","13,56,88,78,190","6,652",Entertainment,2013
124,Rajshri,"3,19,00,000","13,96,54,58,068","3,761",Music,2006
125,GENIAL,"3,17,00,000","6,57,81,28,540","5,957",Howto & Style,2017
126,CVS 3D Rhymes & Kids Songs,"3,17,00,000","19,31,96,26,738",338,Education,2008
127,JustinBieberVEVO,"3,17,00,000","25,95,57,45,056",204,Music,2009
128,Mr Bean,"3,15,00,000","10,21,94,05,165","2,847",Shows,2006
129,rezendeevil,"3,15,00,000","12,83,75,85,247","11,757",Gaming,2012
130,SMTOWN,"3,14,00,000","26,26,75,02,068","4,059",Music,2006
